State,City,Latitude,Longitude
Alabama,Adamsville,33.580862,-86.956455
Alabama,Alexander City,32.923909,-85.949771
Alabama,Athens,34.806197749999995,-86.95896475
Alabama,Auburn,32.594473125,-85.48067783333333
Alabama,Bessemer,33.3368855,-86.955847
Alabama,Birmingham,33.51643822222222,-86.81150173333333
Alabama,Boligee,32.782625,-88.045806
Alabama,Bridgeport,34.9479865,-85.74280250000001
Alabama,Brilliant,33.996677,-87.793144
Alabama,Brundidge,31.719846,-85.829757
Alabama,Center Point,33.6259315,-86.68770599999999
Alabama,Centreville,32.952966,-87.142597
Alabama,Citronelle,31.13441,-88.25196
Alabama,Clanton,32.79871533333333,-86.57872366666668
Alabama,Cottondale,33.195035000000004,-87.442217
Alabama,Cullman,34.215441999999996,-86.8824885
Alabama,Daphne,30.597173647058828,-87.89201
Alabama,Decatur,34.5798364,-86.9773348
Alabama,Dothan,31.225508400000002,-85.401118
Alabama,Enterprise,31.301634999999997,-85.8432785
Alabama,Fairfield,33.4723967,-86.923286
Alabama,Florence,34.841966,-87.604585
Alabama,Foley,30.375213249999998,-87.67768125
Alabama,Forestdale,33.554792,-86.918096
Alabama,Fort Payne,34.4457685,-85.71091
Alabama,Franklin,32.428501,-85.7903
Alabama,Good Hope,34.099752,-86.865525
Alabama,Goodwater,33.035909,-86.063863
Alabama,Grant,34.512466,-86.258078
Alabama,Gulf Shores,30.2879975,-87.68332724999999
Alabama,Guntersville,34.358377,-86.28816733333333
Alabama,Helena,33.26682,-86.83778
Alabama,Highland Lakes,33.377072,-86.665789
Alabama,Hollywood,34.717232,-85.960267
Alabama,Homewood,33.458356,-86.81612200000001
Alabama,Hoover,33.380498458333335,-86.79010375
Alabama,Hueytown,33.454785,-86.971751
Alabama,Huntsville,34.752406752293574,-86.63368009174312
Alabama,Jacksonville,33.822994,-85.76293766666667
Alabama,Lanett,32.843452,-85.190472
Alabama,Lincoln,33.5993364,-86.1124656
Alabama,Madison,34.7019365,-86.7189165
Alabama,McDonald Chapel,33.522662,-86.9322
Alabama,Mobile,30.680633307692307,-88.10076394871795
Alabama,Montgomery,32.3469897768595,-86.23190714876033
Alabama,Moody,33.576279,-86.476703
Alabama,Mount Olive,33.067673,-86.144681
Alabama,Mountain Brook,33.456794,-86.748268
Alabama,New Hope,34.527011,-86.404247
Alabama,Northport,33.23436275,-87.57596925
Alabama,Opelika,32.627186333333334,-85.39034233333332
Alabama,Orange Beach,30.290465,-87.61857
Alabama,Owens Cross Roads,34.575952,-86.446151
Alabama,Oxford,33.601364000000004,-85.8321075
Alabama,Pell City,33.564465,-86.2652375
Alabama,Phenix City,32.46213133333333,-85.02093533333334
Alabama,Pinckard,31.322505,-85.524893
Alabama,Pine Level,32.636030000000005,-86.493032
Alabama,Pleasant Grove,33.4862685,-86.9937845
Alabama,Priceville,34.549668499999996,-86.90870100000001
Alabama,Prichard,30.734518,-88.097535
Alabama,Ryland,34.771041,-86.473862
Alabama,Saraland,30.805062,-88.101456
Alabama,Selma,32.404226,-87.005579
Alabama,Stevenson,34.87989,-85.810259
Alabama,Sylacauga,33.160526,-86.256688
Alabama,Troy,31.782706,-85.949419
Alabama,Trussville,33.61464,-86.641535
Alabama,Tuscaloosa,33.201279885714285,-87.52237582857143
Alabama,Tuskegee,32.4325634,-85.7028648
Alabama,Vestavia Hills,33.4355165,-86.732496
Alabama,Webb,31.254447,-85.294836
Alba / Scotland,Glasgow,55.86089,-4.361673
Alba / Scotland,Howwood,55.813645,-4.552635
Alba / Scotland,Prestwick,55.517534,-4.619655
Alba / Scotland,Troon,55.544564,-4.672007
Arizona,Avenue B & C,32.71231,-114.66938
Arizona,Avondale,33.468713666666666,-112.32387366666667
Arizona,Buckeye,33.339924,-112.613255
Arizona,Casa Grande,32.865907,-111.7064385
Arizona,Cave Creek,33.735722,-111.9871
Arizona,Chandler,33.30615097058824,-111.84860005882354
Arizona,Eloy,32.764126000000005,-111.5917055
Arizona,Flagstaff,35.177569,-111.654625
Arizona,Fountain Hills,33.609908,-111.720219
Arizona,Gilbert,33.3321763,-111.7764321
Arizona,Glendale,33.56753590196078,-112.18146239215686
Arizona,Globe,33.392017,-110.754312
Arizona,Goodyear,33.47466033333333,-112.37389466666667
Arizona,Guadalupe,33.3646715,-111.966733
Arizona,Litchfield Park,33.497603999999995,-112.347931
Arizona,Mesa,33.40109242857143,-111.8249289142857
Arizona,Paradise Valley,33.581675,-111.944088
Arizona,Peoria,33.60051646666667,-112.24359486666667
Arizona,Phoenix,33.499337964,-112.07619208444446
Arizona,Prescott,34.626197,-112.426767
Arizona,Prescott Valley,34.608749,-112.33535549999999
Arizona,Queen Creek,33.26464,-111.634618
Arizona,San Tan Valley,33.178625,-111.581405
Arizona,Scottsdale,33.601702296296295,-111.90461725925925
Arizona,Sierra Vista,31.55906715789474,-110.29459315789475
Arizona,Spring Valley,34.361915,-112.171755
Arizona,Sun City CDP,33.5960345,-112.268987
Arizona,Sun City West,33.662006,-112.374524
Arizona,Surprise,33.6323725,-112.3711205
Arizona,Tempe,33.39889995180722,-111.93140544578313
Arizona,Tolleson,33.4491685,-112.25612000000001
Arizona,Tucson,32.23175049541285,-110.93313326605504
Arizona,Yuma,32.6844574375,-114.5616544375
Arkansas,Batesville,35.7678965,-91.6338035
